1,t1,y2,NUTCRACKER,t2,MISTY,n1,n2,ODUS,t3,y1,n3,y3
2,t1,t2,y2,NUTCRACKER,ODUS,MISTY,n2,y3,y1,t3,n1,n3
3,t1,NUTCRACKER,y2,t2,y1,n2,t3,n1,y3,n3,ODUS,MISTY
4,t1,t2,y2,NUTCRACKER,MISTY,t3,y1,n1,ODUS,n2,n3,y3
5,t1,NUTCRACKER,y1,y2,t2,n1,t3,n2,n3,MISTY,ODUS,y3
6,t1,y2,NUTCRACKER,t2,MISTY,ODUS,t3,n1,n2,n3,y1,y3
7,t1,t2,NUTCRACKER,y2,t3,ODUS,MISTY,y3,n2,n1,y1,n3
8,t1,NUTCRACKER,y2,t2,MISTY,ODUS,t3,y3,y1,n3,n1,n2
9,t1,y2,t2,NUTCRACKER,y1,t3,ODUS,n1,n2,y3,n3,MISTY
10,t1,y2,y1,t2,NUTCRACKER,ODUS,n2,t3,MISTY,y3,n1,n3
11,t1,y2,NUTCRACKER,t2,n1,ODUS,n2,t3,MISTY,y3,y1,n3
12,t1,NUTCRACKER,t2,y2,y1,t3,ODUS,n2,n1,MISTY,n3,y3
13,t1,NUTCRACKER,t2,y2,n1,y3,MISTY,n3,t3,y1,ODUS,n2
14,t1,y2,NUTCRACKER,t2,t3,ODUS,n1,y1,y3,MISTY,n3,n2
15,t1,NUTCRACKER,y2,t2,y1,y3,n3,MISTY,t3,n1,n2,ODUS
16,t1,y2,NUTCRACKER,t2,t3,y3,y1,ODUS,n1,MISTY,n2,n3
17,t1,NUTCRACKER,y2,t2,MISTY,n2,y3,n1,ODUS,t3,y1,n3
18,t1,NUTCRACKER,t2,y1,y2,n1,n2,ODUS,MISTY,y3,t3,n3
19,t1,t2,NUTCRACKER,y2,ODUS,n1,t3,MISTY,n2,y1,n3,y3
20,t1,NUTCRACKER,t2,y2,MISTY,y1,n1,n2,t3,y3,ODUS,n3
21,t1,NUTCRACKER,y2,t2,t3,MISTY,y1,ODUS,n1,n2,n3,y3
22,t1,NUTCRACKER,t2,y2,n1,y1,y3,ODUS,n3,n2,t3,MISTY
23,t1,NUTCRACKER,y2,t2,y1,n1,t3,ODUS,MISTY,n3,n2,y3
24,t1,NUTCRACKER,y2,t2,t3,n1,y3,n2,MISTY,y1,n3,ODUS
25,t1,NUTCRACKER,y2,MISTY,t2,t3,ODUS,y1,n1,n2,n3,y3
26,t1,y2,t2,NUTCRACKER,MISTY,y1,t3,ODUS,n2,n1,n3,y3
27,t1,NUTCRACKER,y2,t2,n2,MISTY,t3,ODUS,n3,y1,n1,y3
28,t1,NUTCRACKER,t2,y2,t3,ODUS,MISTY,n3,y1,n2,n1,y3
29,t1,NUTCRACKER,t2,y2,MISTY,n1,y1,ODUS,t3,y3,n2,n3
30,t1,t2,y2,MISTY,NUTCRACKER,y1,t3,ODUS,n2,y3,n1,n3
31,t1,y2,t2,y1,NUTCRACKER,t3,ODUS,MISTY,n1,n2,y3,n3
32,t1,y2,NUTCRACKER,t2,ODUS,n1,y1,y3,n3,n2,MISTY,t3
33,t1,y2,t2,NUTCRACKER,y1,n1,MISTY,t3,n2,y3,ODUS,n3
34,t1,NUTCRACKER,y2,ODUS,t2,t3,y3,n1,n2,MISTY,y1,n3
35,t1,y1,y2,NUTCRACKER,t2,n1,MISTY,n3,y3,t3,n2,ODUS
36,t1,NUTCRACKER,y2,t2,MISTY,t3,y1,ODUS,n1,n3,n2,y3
37,t1,t2,NUTCRACKER,y2,MISTY,y1,t3,n1,n2,y3,ODUS,n3
38,t1,t2,y2,NUTCRACKER,y1,ODUS,t3,n1,y3,n2,MISTY,n3
39,t1,t2,y2,NUTCRACKER,y3,n1,ODUS,t3,MISTY,y1,n2,n3
40,t1,t2,NUTCRACKER,y2,MISTY,y1,n1,y3,t3,n3,n2,ODUS
41,t1,y2,t2,NUTCRACKER,MISTY,n1,ODUS,n2,y3,t3,y1,n3
42,t1,t2,NUTCRACKER,y2,y1,MISTY,ODUS,y3,n1,n3,n2,t3
43,t1,y2,t2,NUTCRACKER,ODUS,y1,y3,MISTY,n1,t3,n2,n3
44,t1,t2,NUTCRACKER,y2,n1,t3,ODUS,MISTY,y1,n2,n3,y3
45,t1,t2,NUTCRACKER,y2,y1,n1,n2,MISTY,y3,t3,ODUS,n3
46,t1,y2,t2,NUTCRACKER,t3,MISTY,ODUS,y1,n3,n1,y3,n2
47,t1,y2,t2,NUTCRACKER,y1,MISTY,ODUS,t3,y3,n1,n2,n3
48,t1,NUTCRACKER,y2,t2,y1,t3,n2,n1,ODUS,MISTY,n3,y3
49,t1,NUTCRACKER,y2,t2,ODUS,n1,y1,t3,n2,MISTY,y3,n3
50,t1,y2,t2,NUTCRACKER,MISTY,y1,ODUS,t3,n1,y3,n2,n3
51,t1,t2,y2,y1,NUTCRACKER,ODUS,n1,MISTY,y3,n2,n3,t3
52,t1,t2,y2,NUTCRACKER,y1,ODUS,t3,y3,n1,MISTY,n2,n3
53,t1,NUTCRACKER,y1,y2,t2,t3,n1,n2,y3,ODUS,MISTY,n3
54,t1,NUTCRACKER,y2,t2,n1,n2,y1,y3,ODUS,MISTY,t3,n3
55,t1,y2,NUTCRACKER,t2,MISTY,n2,y3,y1,t3,n3,ODUS,n1
56,t1,y2,NUTCRACKER,t2,t3,ODUS,y1,n1,n2,n3,MISTY,y3
57,t1,y2,t2,NUTCRACKER,y1,y3,MISTY,t3,n1,n2,n3,ODUS
58,t1,y2,NUTCRACKER,t2,t3,ODUS,y1,y3,n1,n3,n2,MISTY
59,t1,t2,NUTCRACKER,y2,t3,ODUS,MISTY,n2,y3,n1,y1,n3
60,t1,t2,y2,NUTCRACKER,ODUS,n1,MISTY,y1,y3,t3,n2,n3
61,t1,t2,NUTCRACKER,y2,ODUS,t3,n2,y3,n1,y1,n3,MISTY
62,t1,NUTCRACKER,t2,y2,t3,n1,MISTY,y1,ODUS,n3,n2,y3
63,t1,t2,y2,y1,NUTCRACKER,t3,ODUS,MISTY,y3,n1,n3,n2
64,t1,y2,t2,ODUS,y1,NUTCRACKER,t3,MISTY,n2,n1,y3,n3
65,t1,NUTCRACKER,t2,y2,MISTY,y1,t3,n1,ODUS,n3,y3,n2
66,t1,NUTCRACKER,t2,ODUS,y2,n1,n2,y1,t3,n3,MISTY,y3
67,t1,y2,y1,NUTCRACKER,t2,t3,ODUS,n1,n2,MISTY,y3,n3
68,t1,NUTCRACKER,t2,y2,n1,y1,t3,n2,y3,ODUS,n3,MISTY
69,t1,NUTCRACKER,y2,t2,ODUS,n2,t3,n1,y3,n3,y1,MISTY
70,t1,y2,NUTCRACKER,t2,t3,y1,MISTY,n2,y3,n1,ODUS,n3
71,t1,y2,NUTCRACKER,y1,t2,n1,t3,ODUS,n2,y3,MISTY,n3
72,t1,NUTCRACKER,t2,y2,t3,ODUS,n1,n3,y3,y1,n2,MISTY
73,t1,NUTCRACKER,y2,t2,MISTY,y1,t3,n3,n1,n2,ODUS,y3
74,t1,t2,y2,NUTCRACKER,t3,ODUS,n2,MISTY,y3,y1,n1,n3
75,t1,y2,NUTCRACKER,t2,ODUS,y1,t3,n2,n1,y3,n3,MISTY
